heuristica,n,m,replicacao,tempo_ns,iteracoes,makespan,parametro
LocalSearchBest, 1, 20, 1, 2966, 1, 81, N/A
LocalSearchBest, 11, 20, 11, 29675, 9, 81, N/A
LocalSearchBest, 21, 20, 21, 76754, 18, 99, N/A
LocalSearchBest, 31, 20, 31, 144100, 27, 176, N/A
LocalSearchBest, 41, 20, 41, 233388, 34, 285, N/A
LocalSearchBest, 51, 20, 51, 372539, 42, 423, N/A
LocalSearchBest, 61, 20, 61, 539071, 46, 563, N/A
LocalSearchBest, 71, 20, 71, 774904, 57, 740, N/A
LocalSearchBest, 81, 20, 81, 1083172, 67, 951, N/A
LocalSearchBest, 91, 20, 91, 1435262, 75, 1192, N/A
LocalSearchBest, 101, 20, 101, 1848067, 80, 1469, N/A
LocalSearchBest, 111, 20, 111, 2315554, 89, 1730, N/A
LocalSearchBest, 121, 20, 121, 3421308, 92, 2027, N/A
LocalSearchBest, 131, 20, 131, 3499484, 101, 2347, N/A
LocalSearchBest, 141, 20, 141, 4337797, 110, 2700, N/A
LocalSearchBest, 151, 20, 151, 6082540, 120, 3128, N/A
LocalSearchBest, 161, 20, 161, 6433408, 130, 3512, N/A
LocalSearchBest, 171, 20, 171, 7850457, 132, 3926, N/A
LocalSearchBest, 181, 20, 181, 9024779, 143, 4435, N/A
LocalSearchBest, 191, 20, 191, 9915209, 148, 4898, N/A
LocalSearchBest, 201, 20, 201, 11331106, 154, 5444, N/A
LocalSearchBest, 211, 20, 211, 13365883, 166, 6002, N/A
LocalSearchBest, 221, 20, 221, 15571491, 178, 6616, N/A
LocalSearchBest, 231, 20, 231, 17063980, 179, 7202, N/A
LocalSearchBest, 241, 20, 241, 18907618, 183, 7790, N/A
LocalSearchBest, 251, 20, 251, 21790606, 196, 8451, N/A
LocalSearchBest, 261, 20, 261, 24016342, 202, 9111, N/A
LocalSearchBest, 271, 20, 271, 27948799, 219, 9845, N/A
LocalSearchBest, 281, 20, 281, 30052675, 220, 10545, N/A
LocalSearchBest, 291, 20, 291, 33478051, 230, 11296, N/A
LocalSearchBest, 301, 20, 301, 36808889, 237, 12043, N/A
LocalSearchBest, 311, 20, 311, 40446032, 246, 12810, N/A
LocalSearchBest, 321, 20, 321, 43940778, 252, 13622, N/A
LocalSearchBest, 331, 20, 331, 48618072, 263, 14479, N/A
LocalSearchBest, 341, 20, 341, 51862037, 265, 15328, N/A
LocalSearchBest, 351, 20, 351, 56363942, 273, 16211, N/A
LocalSearchBest, 361, 20, 361, 61970891, 284, 17075, N/A
LocalSearchBest, 371, 20, 371, 66953597, 291, 18064, N/A
LocalSearchBest, 381, 20, 381, 73906099, 305, 19002, N/A
LocalSearchBest, 391, 20, 391, 78506730, 309, 19994, N/A
LocalSearchBest, 401, 20, 401, 82971184, 311, 20983, N/A
LocalSearchBest, 411, 20, 411, 89592304, 321, 22010, N/A
LocalSearchBest, 421, 20, 421, 96924319, 332, 23112, N/A
LocalSearchBest, 431, 20, 431, 102454283, 335, 24212, N/A
LocalSearchBest, 441, 20, 441, 107295034, 336, 25298, N/A
LocalSearchBest, 451, 20, 451, 117775013, 352, 26450, N/A
LocalSearchBest, 461, 20, 461, 125656436, 360, 27637, N/A
LocalSearchBest, 471, 20, 471, 134430927, 369, 28828, N/A
LocalSearchBest, 481, 20, 481, 139867936, 369, 30013, N/A
LocalSearchBest, 491, 20, 491, 152735754, 387, 31248, N/A
LocalSearchBest, 501, 20, 501, 159189542, 387, 32508, N/A
LocalSearchBest, 511, 20, 511, 168410509, 394, 33761, N/A
LocalSearchBest, 521, 20, 521, 182465204, 411, 35103, N/A
LocalSearchBest, 531, 20, 531, 191377612, 416, 36425, N/A
LocalSearchBest, 541, 20, 541, 202543889, 425, 37777, N/A
LocalSearchBest, 551, 20, 551, 212896059, 431, 39167, N/A
LocalSearchBest, 561, 20, 561, 223954803, 438, 40614, N/A
LocalSearchBest, 571, 20, 571, 233092725, 441, 42045, N/A
