heuristic,machines,tasks,makespan,time_nano,iterations,param
LocalSearchBest,10,32,622,5450,14,
LocalSearchBest,10,32,588,3968,17,
LocalSearchBest,10,32,606,7474,16,
LocalSearchBest,10,32,577,3016,13,
LocalSearchBest,10,32,714,2855,13,
LocalSearchBest,10,32,484,3827,18,
LocalSearchBest,10,32,495,3166,17,
LocalSearchBest,10,32,698,3216,14,
LocalSearchBest,10,32,669,3126,14,
LocalSearchBest,10,32,593,2935,14,
LocalSearchBest,10,32,655,3307,16,
LocalSearchBest,10,32,603,2495,14,
LocalSearchBest,10,32,710,2555,12,
LocalSearchBest,10,32,557,3267,15,
LocalSearchBest,10,32,671,2875,14,
LocalSearchBest,10,32,809,2905,13,
LocalSearchBest,10,32,670,3347,17,
LocalSearchBest,10,32,722,6843,16,
LocalSearchBest,10,32,674,3125,14,
LocalSearchBest,10,32,684,2585,13,
LocalSearchBest,10,32,665,3176,15,
LocalSearchBest,10,32,607,2925,14,
LocalSearchBest,10,32,575,2825,14,
LocalSearchBest,10,32,807,2745,14,
LocalSearchBest,10,32,672,3297,17,
LocalSearchBest,10,32,820,3226,15,
LocalSearchBest,10,32,526,2955,16,
LocalSearchBest,10,32,566,2385,11,
LocalSearchBest,10,32,760,5500,13,
LocalSearchBest,10,32,675,2765,13,
LocalSearchBest,10,32,615,2424,12,
LocalSearchBest,10,32,679,2715,14,
LocalSearchBest,10,32,543,2645,14,
LocalSearchBest,10,32,706,3778,18,
LocalSearchBest,10,32,589,2875,16,
LocalSearchBest,10,32,798,2765,13,
LocalSearchBest,10,32,868,2705,13,
LocalSearchBest,10,32,616,2655,12,
LocalSearchBest,10,32,562,3867,17,
LocalSearchBest,10,32,679,2775,14,
LocalSearchBest,10,32,706,2605,13,
LocalSearchBest,10,32,678,2324,11,
LocalSearchBest,10,32,654,3216,16,
LocalSearchBest,10,32,672,6062,14,
LocalSearchBest,10,32,862,2825,16,
LocalSearchBest,10,32,593,2395,12,
LocalSearchBest,10,32,750,2685,13,
LocalSearchBest,10,32,547,3196,17,
LocalSearchBest,10,32,590,2685,14,
LocalSearchBest,10,32,724,3166,15,
LocalSearchBest,10,32,750,3226,16,
LocalSearchBest,10,32,823,3036,13,
LocalSearchBest,10,32,742,3426,16,
LocalSearchBest,10,32,525,2254,11,
LocalSearchBest,10,32,635,2565,12,
LocalSearchBest,10,32,608,3397,17,
LocalSearchBest,10,32,698,3006,13,
LocalSearchBest,10,32,773,2645,13,
LocalSearchBest,10,32,768,5179,12,
LocalSearchBest,10,32,660,2845,14,
LocalSearchBest,10,32,737,2665,12,
LocalSearchBest,10,32,595,2945,16,
LocalSearchBest,10,32,517,3637,19,
LocalSearchBest,10,32,724,3186,16,
LocalSearchBest,10,32,710,3326,18,
LocalSearchBest,10,32,688,2545,12,
LocalSearchBest,10,32,584,2495,14,
LocalSearchBest,10,32,702,3457,15,
LocalSearchBest,10,32,624,2745,12,
LocalSearchBest,10,32,818,2525,13,
LocalSearchBest,10,32,697,2385,12,
LocalSearchBest,10,32,692,2405,12,
LocalSearchBest,10,32,783,2634,12,
LocalSearchBest,10,32,514,5510,13,
LocalSearchBest,10,32,654,2796,15,
LocalSearchBest,10,32,715,2645,12,
LocalSearchBest,10,32,857,2816,14,
LocalSearchBest,10,32,645,2876,14,
LocalSearchBest,10,32,693,2915,15,
LocalSearchBest,10,32,694,2134,11,
LocalSearchBest,10,32,557,3336,17,
LocalSearchBest,10,32,665,3647,17,
LocalSearchBest,10,32,665,2906,13,
LocalSearchBest,10,32,568,2665,13,
LocalSearchBest,10,32,700,2665,12,
LocalSearchBest,10,32,701,2685,12,
LocalSearchBest,10,32,636,2445,14,
LocalSearchBest,10,32,751,2715,12,
LocalSearchBest,10,32,648,2385,12,
LocalSearchBest,10,32,644,2195,12,
LocalSearchBest,10,32,651,2695,14,
LocalSearchBest,10,32,721,3116,16,
LocalSearchBest,10,32,599,2415,12,
LocalSearchBest,10,32,760,2836,13,
LocalSearchBest,10,32,586,3507,17,
LocalSearchBest,10,32,565,2284,13,
LocalSearchBest,10,32,600,3146,17,
LocalSearchBest,10,32,619,2535,11,
LocalSearchBest,10,32,692,3306,15,
LocalSearchBest,10,32,774,2765,15,
LocalSearchBest,10,100,2435,8406,37,
LocalSearchBest,10,100,2758,8375,35,
LocalSearchBest,10,100,2227,7655,34,
LocalSearchBest,10,100,2620,7053,33,
LocalSearchBest,10,100,2154,7364,34,
LocalSearchBest,10,100,2449,7073,32,
LocalSearchBest,10,100,2254,7925,36,
LocalSearchBest,10,100,2306,8326,36,
LocalSearchBest,10,100,2215,7183,34,
LocalSearchBest,10,100,2517,7534,33,
LocalSearchBest,10,100,2406,13084,37,
LocalSearchBest,10,100,2068,7173,33,
LocalSearchBest,10,100,2244,23504,29,
LocalSearchBest,10,100,2313,8075,36,
LocalSearchBest,10,100,2335,11021,32,
LocalSearchBest,10,100,2400,7374,37,
LocalSearchBest,10,100,2389,10720,37,
